feature,importance
event_tech_product_announcements_max,0.0028158171017003
event_dividend_analyst_price_targets_mean,0.0019688041905844
event_tech_product_announcements_mean,0.0018370887679164
event_dividend_value_commentary_mean,0.0017010812509131
event_market_sentiment_mean_lag1,0.001598459169844
event_earnings_acquisitions_mixed_mean,0.0015868181529531
event_market_sentiment_mean_lag2,0.0014463035643098
event_mna_and_dividend_mixed_mean_lag1,0.0014088901902957
event_dividend_value_commentary_max,0.0012740817844574
event_dividend_value_commentary_mean_lag3,0.0012427944440468
event_dividend_analyst_price_targets_mean_lag1,0.0012393356322525
event_earnings_acquisitions_mixed_max,0.0011819601919808
event_macro_political_mixed_mean_lag3,0.0009507828075538
event_market_sentiment_max,0.0009329632672196
event_fund_commentary_max,0.0008849283904589
event_corporate_news_mixed_mean,0.0008844083031128
event_dividend_buffett_picks_mean_lag2,0.0008661530946452
event_earnings_acquisitions_mixed_mean_lag2,0.0008530024830274
event_energy_materials_capex_mean_lag3,0.0007808661973735
event_clinical_trial_max,0.000777963046774
event_tech_product_announcements_mean_lag2,0.0007135713801598
event_mna_and_dividend_mixed_mean_lag2,0.0006808200555353
event_fund_commentary_mean_lag1,0.0006759412108441
event_dividend_analyst_price_targets_max,0.0006459694762106
event_macro_political_mixed_mean_lag1,0.000638938359889
event_energy_materials_capex_max,0.0006251232571792
event_dividend_value_commentary_mean_lag1,0.0006020044955347
event_mna_and_dividend_mixed_mean,0.0005791356279263
event_corporate_news_mixed_mean_lag3,0.0005723818573695
event_corporate_news_mixed_mean_lag1,0.0005647521363787
event_macro_political_mixed_max,0.0005574602998098
event_mna_and_dividend_mixed_mean_lag3,0.000551330456392
event_corporate_news_mixed_max,0.0005429690283183
event_earnings_acquisitions_mixed_mean_lag1,0.0005345833104624
event_tech_product_announcements_mean_lag1,0.0005104182919389
event_clinical_trial_mean_lag2,0.0005042505376113
event_energy_materials_capex_mean_lag2,0.0004824268910612
event_tech_product_announcements_mean_lag3,0.0004751893995589
event_dividend_buffett_picks_mean_lag1,0.0004673909074126
event_clinical_trial_mean_lag3,0.0004351086433197
article_count,0.000429867210027
event_dividend_analyst_price_targets_mean_lag2,0.0004296765234767
event_market_sentiment_mean_lag3,0.0004178490217071
event_dividend_analyst_price_targets_mean_lag3,0.0004080439353464
event_fund_commentary_mean_lag2,0.0004074478861084
event_dividend_buffett_picks_max,0.000405129117333
event_market_sentiment_mean,0.0003889647256564
company_mentioned_mean,0.000386472222562
event_clinical_trial_mean,0.0003755864447637
event_fund_commentary_mean_lag3,0.0003672408807652
event_earnings_acquisitions_mixed_mean_lag3,0.0003538388871853
event_dividend_buffett_picks_mean,0.0002978335596105
event_energy_materials_capex_mean_lag1,0.0002951941800423
event_clinical_trial_mean_lag1,0.0002768086662042
event_dividend_value_commentary_mean_lag2,0.0002743197504446
event_mna_and_dividend_mixed_max,0.0002492267865227
event_macro_political_mixed_mean_lag2,0.0002405788840973
event_corporate_news_mixed_mean_lag2,0.0002326203858396
event_energy_materials_capex_mean,0.0002106630610037
event_fund_commentary_mean,0.0001602213534373
event_dividend_buffett_picks_mean_lag3,0.0001267285182203
event_macro_political_mixed_mean,0.000104165024791
