feature,importance
event_corporate_news_mixed_max,0.023199992
event_earnings_acquisitions_mixed_mean_lag1,0.010650458
event_market_sentiment_max,0.010649401
event_corporate_news_mixed_mean_lag3,0.009957354
event_corporate_news_mixed_mean_lag2,0.009649415
event_earnings_acquisitions_mixed_mean_lag3,0.007879969
event_fund_commentary_mean,0.0074503454
event_tech_product_announcements_mean_lag2,0.006168314
event_fund_commentary_max,0.0049777245
event_market_sentiment_mean_lag3,0.0040530283
event_mna_and_dividend_mixed_max,0.003299106
event_dividend_analyst_price_targets_mean_lag1,0.0027116013
event_macro_political_mixed_mean,0.0026543038
event_earnings_acquisitions_mixed_max,0.0025720822
event_energy_materials_capex_mean_lag2,0.0021507437
event_dividend_analyst_price_targets_mean,0.001480482
event_dividend_buffett_picks_mean_lag1,0.0014319394
event_corporate_news_mixed_mean,0.0013460991
event_energy_materials_capex_mean_lag3,0.0009394924
event_dividend_analyst_price_targets_mean_lag3,0.00086901075
event_energy_materials_capex_max,0.0008467647
event_dividend_value_commentary_mean_lag3,0.0008421837
event_dividend_buffett_picks_mean_lag2,0.0008286431
event_tech_product_announcements_mean,0.0006553028
event_market_sentiment_mean,0.00058303575
event_earnings_acquisitions_mixed_mean,0.0004927382
event_mna_and_dividend_mixed_mean_lag1,0.00043868614
event_tech_product_announcements_mean_lag1,0.00041461719
event_clinical_trial_mean_lag3,0.0003879563
event_mna_and_dividend_mixed_mean_lag3,0.0003688714
event_dividend_buffett_picks_mean,0.00030043835
event_macro_political_mixed_max,0.00025637582
event_corporate_news_mixed_mean_lag1,0.00016710178
event_macro_political_mixed_mean_lag3,0.00015748618
event_dividend_buffett_picks_max,8.094083e-05
event_market_sentiment_mean_lag2,4.515694e-05
event_clinical_trial_max,3.177482e-05
event_dividend_value_commentary_mean_lag2,0.0
event_dividend_analyst_price_targets_mean_lag2,0.0
article_count,0.0
event_tech_product_announcements_mean_lag3,0.0
event_mna_and_dividend_mixed_mean_lag2,0.0
event_clinical_trial_mean_lag1,0.0
event_fund_commentary_mean_lag3,0.0
event_fund_commentary_mean_lag2,0.0
event_fund_commentary_mean_lag1,0.0
event_clinical_trial_mean,0.0
event_earnings_acquisitions_mixed_mean_lag2,0.0
event_dividend_buffett_picks_mean_lag3,0.0
event_dividend_value_commentary_mean,0.0
event_dividend_value_commentary_max,0.0
event_dividend_analyst_price_targets_max,0.0
event_clinical_trial_mean_lag2,0.0
event_energy_materials_capex_mean_lag1,0.0
event_tech_product_announcements_max,0.0
event_mna_and_dividend_mixed_mean,0.0
event_market_sentiment_mean_lag1,0.0
event_dividend_value_commentary_mean_lag1,0.0
event_macro_political_mixed_mean_lag2,0.0
event_macro_political_mixed_mean_lag1,0.0
event_energy_materials_capex_mean,0.0
company_mentioned_mean,0.0
