feature,importance
ss_combined_pos_mean_lag2,0.0024061227102245785
ss_combined_pos_std,0.0021824210151243184
ss_combined_neg_max,0.002110439588534786
finetuned_finbert_neutral_max,0.0019355104270221595
finetuned_finbert_negative_max,0.0015867828047082685
vader_combined_positive_max,0.0015784223510357826
finetuned_finbert_neutral_mean,0.0013265287384623512
ss_combined_pos_mean_lag1,0.001325969604908596
ss_combined_pos_mean,0.001231619437070497
company_mentioned_mean,0.0011935900606636748
finetuned_finbert_negative_mean,0.0011210872944964658
vader_combined_compound_max,0.001016607060052301
vader_combined_compound_mean,0.0009323856711197019
vader_combined_neutral_max,0.0008868880269482035
finetuned_finbert_negative_mean_lag2,0.0007938412198163094
ss_combined_pos_mean_lag3,0.0007585695842229657
vader_combined_neutral_std,0.0007464932462872832
finetuned_finbert_negative_mean_lag1,0.0006516391229462389
ss_combined_neg_mean_lag2,0.0006022928630896531
finetuned_finbert_neutral_std,0.0005736326306229988
vader_combined_compound_mean_lag1,0.0005566047257854051
vader_combined_negative_max,0.0005539051356237626
vader_combined_positive_mean,0.0005502056676722493
finetuned_finbert_positive_std,0.0005212694051107321
vader_combined_negative_mean_lag1,0.0005046742103898213
finetuned_finbert_negative_mean_lag3,0.000462570072899211
finetuned_finbert_positive_mean_lag3,0.00043075804884696965
vader_combined_negative_mean,0.0004235936471221225
finetuned_finbert_positive_mean,0.0003394231101498987
vader_combined_positive_mean_lag2,0.0003268288024613785
vader_combined_neutral_mean_lag2,0.00029326651324763583
vader_combined_neutral_mean_lag1,0.000290501503342604
vader_combined_negative_mean_lag3,0.00027247901142963486
ss_combined_neg_mean_lag3,0.00026194914390873154
finetuned_finbert_neutral_mean_lag2,0.0002592542340135221
article_count,0.0002575882517960167
vader_combined_positive_mean_lag1,0.00024516166259249176
ss_combined_pos_max,0.00023384770753407703
vader_combined_neutral_mean,0.00020240014561100322
vader_combined_positive_mean_lag3,0.00019601171053920425
finetuned_finbert_positive_max,0.0001887824168699072
vader_combined_compound_mean_lag3,0.00018530022267050048
vader_combined_compound_mean_lag2,0.00016208520881133345
finetuned_finbert_neutral_mean_lag1,0.00013863256250526028
ss_combined_neg_mean_lag1,0.00013550452115329795
vader_combined_neutral_mean_lag3,0.00012946997456874052
ss_combined_neg_std,0.00012394768155548264
vader_combined_positive_std,0.0001191378795674608
vader_combined_negative_mean_lag2,0.00011636494083735038
vader_combined_compound_std,0.00011164628113577825
vader_combined_negative_std,9.20162297648135e-05
finetuned_finbert_positive_mean_lag1,6.591503606158014e-05
ss_combined_neg_mean,5.658042134920935e-05
finetuned_finbert_neutral_mean_lag3,5.072935766053675e-05
finetuned_finbert_positive_mean_lag2,4.8145641410871004e-05
finetuned_finbert_negative_std,4.532152711629088e-05
