feature,importance
finetuned_finbert_positive_max,0.02427524
vader_combined_neutral_mean,0.023146199
vader_combined_compound_mean_lag2,0.00995185
vader_combined_positive_mean_lag1,0.008120477
finetuned_finbert_neutral_mean_lag1,0.0073507344
finetuned_finbert_negative_mean,0.0069129765
finetuned_finbert_neutral_mean,0.0062782005
finetuned_finbert_positive_std,0.0050676987
ss_combined_pos_mean_lag3,0.0046717264
vader_combined_neutral_mean_lag1,0.0039861626
finetuned_finbert_positive_mean,0.0027158055
vader_combined_positive_max,0.002003435
finetuned_finbert_neutral_std,0.0012112586
vader_combined_negative_mean_lag2,0.0007403312
ss_combined_neg_mean_lag3,0.0007292003
finetuned_finbert_positive_mean_lag1,0.00050364505
vader_combined_compound_std,0.00043195637
finetuned_finbert_neutral_mean_lag2,0.00041822015
vader_combined_negative_mean_lag1,0.0003861332
finetuned_finbert_negative_mean_lag3,0.00031507993
vader_combined_compound_mean,0.0002863357
vader_combined_compound_max,0.00012793067
vader_combined_compound_mean_lag3,0.00012555232
finetuned_finbert_positive_mean_lag2,7.398906e-05
vader_combined_compound_mean_lag1,6.8064015e-05
vader_combined_positive_mean,6.4488486e-05
finetuned_finbert_neutral_max,3.2999098e-05
ss_combined_neg_mean,0.0
ss_combined_neg_max,0.0
article_count,0.0
finetuned_finbert_negative_max,0.0
ss_combined_neg_mean_lag2,0.0
ss_combined_neg_mean_lag1,0.0
finetuned_finbert_negative_std,0.0
ss_combined_pos_mean_lag2,0.0
ss_combined_pos_mean_lag1,0.0
vader_combined_neutral_mean_lag3,0.0
vader_combined_neutral_mean_lag2,0.0
vader_combined_positive_std,0.0
vader_combined_negative_mean_lag3,0.0
vader_combined_negative_mean,0.0
vader_combined_negative_max,0.0
vader_combined_positive_mean_lag3,0.0
vader_combined_positive_mean_lag2,0.0
vader_combined_negative_std,0.0
finetuned_finbert_neutral_mean_lag3,0.0
vader_combined_neutral_max,0.0
vader_combined_neutral_std,0.0
ss_combined_pos_mean,0.0
finetuned_finbert_negative_mean_lag2,0.0
finetuned_finbert_negative_mean_lag1,0.0
finetuned_finbert_positive_mean_lag3,0.0
ss_combined_pos_max,0.0
ss_combined_pos_std,0.0
ss_combined_neg_std,0.0
company_mentioned_mean,0.0
